p,q,mean,dist,window,MSE
1,1,Constant,normal,10,4.598539672985902e-06
1,1,Constant,normal,20,4.289021148354175e-06
1,1,Constant,normal,30,4.334790970290729e-06
1,1,Constant,t,10,0.0003270452235760174
1,1,Constant,t,20,1.3281673516597046e+18
1,1,Constant,t,30,1346.9368006079196
1,1,AR,normal,10,4.598539672985902e-06
1,1,AR,normal,20,4.289021148354175e-06
1,1,AR,normal,30,4.334790970290729e-06
1,1,AR,t,10,0.0003270452235760174
1,1,AR,t,20,1.3281673516597046e+18
1,1,AR,t,30,1346.9368006079196
1,1,Zero,normal,10,5.130683701681291e-06
1,1,Zero,normal,20,2.7033558263981693e-06
1,1,Zero,normal,30,4.746140003958601e-06
1,1,Zero,t,10,3.19634681890151e-05
1,1,Zero,t,20,9.470037385214901e-06
1,1,Zero,t,30,2.641816205558213e-06
1,2,Constant,normal,10,5.166693179781345e-06
1,2,Constant,normal,20,2.9196478081521544e-06
1,2,Constant,normal,30,4.791339740975e-06
1,2,Constant,t,10,0.03363575961002949
1,2,Constant,t,20,3.0890891351280884e+16
1,2,Constant,t,30,443769201.0248861
1,2,AR,normal,10,5.166693179781345e-06
1,2,AR,normal,20,2.9196478081521544e-06
1,2,AR,normal,30,4.791339740975e-06
1,2,AR,t,10,0.03363575961002949
1,2,AR,t,20,3.0890891351280884e+16
1,2,AR,t,30,443769201.0248861
1,2,Zero,normal,10,5.583716092749631e-06
1,2,Zero,normal,20,4.522533368791234e-06
1,2,Zero,normal,30,2.782014883998211e-06
1,2,Zero,t,10,0.0001134344787748524
1,2,Zero,t,20,1.511084788284742e-05
1,2,Zero,t,30,3.3178251627033006e-06
2,1,Constant,normal,10,4.609565387671024e-06
2,1,Constant,normal,20,4.221747686636528e-06
2,1,Constant,normal,30,3.6011714683028335e-06
2,1,Constant,t,10,0.0004282450710594182
2,1,Constant,t,20,0.006538319399418514
2,1,Constant,t,30,1070238690354.3035
2,1,AR,normal,10,4.609565387671024e-06
2,1,AR,normal,20,4.221747686636528e-06
2,1,AR,normal,30,3.6011714683028335e-06
2,1,AR,t,10,0.0004282450710594182
2,1,AR,t,20,0.006538319399418514
2,1,AR,t,30,1070238690354.3035
2,1,Zero,normal,10,5.6044281879592275e-06
2,1,Zero,normal,20,3.1353372711890934e-06
2,1,Zero,normal,30,5.570899439434859e-06
2,1,Zero,t,10,1.9419867280053155e-05
2,1,Zero,t,20,3.7494026124832134e-06
2,1,Zero,t,30,3.2884249915411074e-06
2,2,Constant,normal,10,5.652045580901207e-06
2,2,Constant,normal,20,4.556311867673296e-06
2,2,Constant,normal,30,4.819270548545369e-06
2,2,Constant,t,10,0.0016306290825973215
2,2,Constant,t,20,0.003580414720217578
2,2,Constant,t,30,10.458375742789977
2,2,AR,normal,10,5.652045580901207e-06
2,2,AR,normal,20,4.556311867673296e-06
2,2,AR,normal,30,4.819270548545369e-06
2,2,AR,t,10,0.0016306290825973215
2,2,AR,t,20,0.003580414720217578
2,2,AR,t,30,10.458375742789977
2,2,Zero,normal,10,5.70868699739245e-06
2,2,Zero,normal,20,2.6760660377037053e-06
2,2,Zero,normal,30,5.1325904374842984e-06
2,2,Zero,t,10,9.039171755352174e-05
2,2,Zero,t,20,2.0990607941440198e-05
2,2,Zero,t,30,3.0226002454649622e-06
